时间,压力,冲击力,温度
2019-05-19 08:23:19:305,0,0,0
2019-05-19 08:23:19:306,0,0,0
2019-05-19 08:23:19:307,0,0,0
2019-05-19 08:23:19:308,0,0,0
2019-05-19 08:23:19:309,0,0,0
2019-05-19 08:23:19:310,0,0,0
2019-05-19 08:23:19:311,0,0,0
2019-05-19 08:23:19:312,0,0,0
2019-05-19 08:23:19:313,0,0,0
2019-05-19 08:23:19:314,0,0,0
2019-05-19 08:23:19:315,0,0,0
2019-05-19 08:23:19:316,0,0,0
2019-05-19 08:23:19:317,0,0,0
2019-05-19 08:23:19:318,0,0,0
2019-05-19 08:23:19:319,0,0,0
2019-05-19 08:23:19:320,0,0,0
2019-05-19 08:23:19:321,0,0,0
2019-05-19 08:23:19:322,0,0,0
2019-05-19 08:23:19:323,0,0,0
2019-05-19 08:23:19:324,0,0,0
2019-05-19 08:23:19:325,0,0,0
2019-05-19 08:23:19:326,0,0,0
2019-05-19 08:23:19:327,0,0,0
2019-05-19 08:23:19:328,0,0,0
2019-05-19 08:23:19:329,0,0,0
2019-05-19 08:23:19:330,0,0,0
2019-05-19 08:23:19:331,0,0,0
2019-05-19 08:23:19:332,0,0,0
2019-05-19 08:23:19:333,0,0,0
2019-05-19 08:23:19:334,0,0,0
2019-05-19 08:23:19:335,0,0,0
2019-05-19 08:23:19:336,0,0,0
2019-05-19 08:23:19:337,0,0,0
2019-05-19 08:23:19:338,0,0,0
2019-05-19 08:23:19:339,0,0,0
2019-05-19 08:23:19:340,0,0,0
2019-05-19 08:23:19:341,0,0,0
2019-05-19 08:23:19:342,0,0,0
2019-05-19 08:23:19:343,0,0,0
2019-05-19 08:23:19:344,0,0,0
2019-05-19 08:23:19:345,0,0,0
2019-05-19 08:23:19:346,0,0,0
2019-05-19 08:23:19:347,0,0,0
2019-05-19 08:23:19:348,0,0,0
2019-05-19 08:23:19:349,0,0,0
2019-05-19 08:23:19:350,0,0,0
2019-05-19 08:23:19:351,0,0,0
2019-05-19 08:23:19:352,0,0,0
2019-05-19 08:23:19:353,0,0,0
2019-05-19 08:23:19:354,0,0,0
2019-05-19 08:23:19:355,0,0,0
2019-05-19 08:23:19:356,0,0,0
2019-05-19 08:23:19:357,0,0,0
2019-05-19 08:23:19:358,0,0,0
2019-05-19 08:23:19:359,0,0,0
2019-05-19 08:23:19:360,0,0,0
2019-05-19 08:23:19:361,0,0,0
2019-05-19 08:23:19:362,0,0,0
2019-05-19 08:23:19:363,0,0,0
2019-05-19 08:23:19:364,0,0,0
2019-05-19 08:23:19:365,0,0,0
2019-05-19 08:23:19:366,0,0,0
2019-05-19 08:23:19:367,0,0,0
2019-05-19 08:23:19:368,0,0,0
2019-05-19 08:23:19:369,0,0,0
2019-05-19 08:23:19:370,0,0,0
2019-05-19 08:23:19:371,0,0,0
2019-05-19 08:23:19:372,0,0,0
2019-05-19 08:23:19:373,0,0,0
2019-05-19 08:23:19:374,0,0,0
2019-05-19 08:23:19:375,0,0,0
2019-05-19 08:23:19:376,0,0,0
2019-05-19 08:23:19:377,0,0,0
2019-05-19 08:23:19:378,0,0,0
2019-05-19 08:23:19:379,0,0,0
2019-05-19 08:23:19:380,0,0,0
2019-05-19 08:23:19:381,0,0,0
2019-05-19 08:23:19:382,0,0,0
2019-05-19 08:23:19:383,0,0,0
2019-05-19 08:23:19:384,0,0,0
2019-05-19 08:23:19:385,0,0,0
2019-05-19 08:23:19:386,0,0,0
2019-05-19 08:23:19:387,0,0,0
2019-05-19 08:23:19:388,0,0,0
2019-05-19 08:23:19:389,0,0,0
2019-05-19 08:23:19:390,0,0,0
2019-05-19 08:23:19:391,0,0,0
2019-05-19 08:23:19:392,0,0,0
2019-05-19 08:23:19:393,0,0,0
2019-05-19 08:23:19:394,0,0,0
2019-05-19 08:23:19:395,0,0,0
2019-05-19 08:23:19:396,0,0,0
2019-05-19 08:23:19:397,0,0,0
2019-05-19 08:23:19:398,0,0,0
2019-05-19 08:23:19:399,0,0,0
2019-05-19 08:23:19:400,0,0,0
2019-05-19 08:23:19:401,0,0,0
2019-05-19 08:23:19:402,0,0,0
2019-05-19 08:23:19:403,0,0,0
2019-05-19 08:23:19:404,0,0,0
2019-05-19 08:23:19:405,0,0,0
2019-05-19 08:23:19:406,0,0,0
2019-05-19 08:23:19:407,0,0,0
2019-05-19 08:23:19:408,0,0,0
2019-05-19 08:23:19:409,0,0,0
2019-05-19 08:23:19:410,0,0,0
2019-05-19 08:23:19:411,0,0,0
2019-05-19 08:23:19:412,0,0,0
2019-05-19 08:23:19:413,0,0,0
2019-05-19 08:23:19:414,0,0,0
2019-05-19 08:23:19:415,0,0,0
2019-05-19 08:23:19:416,0,0,0
2019-05-19 08:23:19:417,0,0,0
2019-05-19 08:23:19:418,0,0,0
2019-05-19 08:23:19:419,0,0,0
2019-05-19 08:23:19:420,0,0,0
2019-05-19 08:23:19:421,0,0,0
2019-05-19 08:23:19:422,0,0,0
2019-05-19 08:23:19:423,0,0,0
2019-05-19 08:23:19:424,0,0,0
2019-05-19 08:23:19:425,0,0,0
2019-05-19 08:23:19:426,0,0,0
2019-05-19 08:23:19:427,0,0,0
2019-05-19 08:23:19:428,0,0,0
2019-05-19 08:23:19:429,0,0,0
2019-05-19 08:23:19:430,0,0,0
2019-05-19 08:23:19:431,0,0,0
2019-05-19 08:23:19:432,0,0,0
2019-05-19 08:23:19:433,0,0,0
2019-05-19 08:23:19:434,0,0,0
2019-05-19 08:23:19:435,0,0,0
2019-05-19 08:23:19:436,0,0,0
2019-05-19 08:23:19:437,0,0,0
2019-05-19 08:23:19:438,0,0,0
2019-05-19 08:23:19:439,0,0,0
2019-05-19 08:23:19:440,0,0,0
2019-05-19 08:23:19:441,0,0,0
2019-05-19 08:23:19:442,0,0,0
2019-05-19 08:23:19:443,0,0,0
2019-05-19 08:23:19:444,0,0,0
2019-05-19 08:23:19:445,0,0,0
2019-05-19 08:23:19:446,0,0,0
2019-05-19 08:23:19:447,0,0,0
2019-05-19 08:23:19:448,0,0,0
2019-05-19 08:23:19:449,0,0,0
2019-05-19 08:23:19:450,0,0,0
2019-05-19 08:23:19:451,0,0,0
2019-05-19 08:23:19:452,0,0,0
2019-05-19 08:23:19:453,0,0,0
2019-05-19 08:23:19:454,0,0,0
2019-05-19 08:23:19:455,0,0,0
2019-05-19 08:23:19:456,0,0,0
2019-05-19 08:23:19:457,0,0,0
2019-05-19 08:23:19:458,0,0,0
2019-05-19 08:23:19:459,0,0,0
2019-05-19 08:23:19:460,0,0,0
2019-05-19 08:23:19:461,0,0,0
2019-05-19 08:23:19:462,0,0,0
2019-05-19 08:23:19:463,0,0,0
2019-05-19 08:23:19:464,0,0,0
2019-05-19 08:23:19:465,0,0,0
2019-05-19 08:23:19:466,0,0,0
2019-05-19 08:23:19:467,0,0,0
2019-05-19 08:23:19:468,0,0,0
2019-05-19 08:23:19:469,0,0,0
2019-05-19 08:23:19:470,0,0,0
2019-05-19 08:23:19:471,0,0,0
2019-05-19 08:23:19:472,0,0,0
2019-05-19 08:23:19:473,0,0,0
2019-05-19 08:23:19:474,0,0,0
2019-05-19 08:23:19:475,0,0,0
2019-05-19 08:23:19:476,0,0,0
2019-05-19 08:23:19:477,0,0,0
2019-05-19 08:23:19:478,0,0,0
2019-05-19 08:23:19:479,0,0,0
2019-05-19 08:23:19:480,0,0,0
2019-05-19 08:23:19:481,0,0,0
2019-05-19 08:23:19:482,0,0,0
2019-05-19 08:23:19:483,0,0,0
2019-05-19 08:23:19:484,0,0,0
2019-05-19 08:23:19:485,0,0,0
2019-05-19 08:23:19:486,0,0,0
2019-05-19 08:23:19:487,0,0,0
2019-05-19 08:23:19:488,0,0,0
2019-05-19 08:23:19:489,0,0,0
2019-05-19 08:23:19:490,0,0,0
2019-05-19 08:23:19:491,0,0,0
2019-05-19 08:23:19:492,0,0,0
2019-05-19 08:23:19:493,0,0,0
2019-05-19 08:23:19:494,0,0,0
2019-05-19 08:23:19:495,0,0,0
2019-05-19 08:23:19:496,0,0,0
2019-05-19 08:23:19:497,0,0,0
2019-05-19 08:23:19:498,0,0,0
2019-05-19 08:23:19:499,0,0,0
2019-05-19 08:23:19:500,0,0,0
2019-05-19 08:23:19:501,0,0,0
2019-05-19 08:23:19:502,0,0,0
2019-05-19 08:23:19:503,0,0,0
2019-05-19 08:23:19:504,0,0,0
2019-05-19 08:23:19:505,0,0,0
2019-05-19 08:23:19:506,0,0,0
2019-05-19 08:23:19:507,0,0,0
2019-05-19 08:23:19:508,0,0,0
2019-05-19 08:23:19:509,0,0,0
2019-05-19 08:23:19:510,0,0,0
2019-05-19 08:23:19:511,0,0,0
2019-05-19 08:23:19:512,0,0,0
